{how-to-get-user-id},"<a href='http://jelled.com/instagram/lookup-user-id' target='_blank'>Kterak na to?</a>"
"By Hashtag","Podle Hashtagu"
"By Product Hashtag","Podle Produktového Hashtagu"
"By User ID","Podle Uživatelského ID"
"By User Name","Podle Uživatelského Jména"
"Cache Lifetime","Životnost cache"
"Description","Popis"
"General","Hlavní"
"Hashtag","Hashtag"
"In seconds","Ve vteřinách"
"Limit","Limit"
"Mode","Mód"
"Instagram Widget Default Template","Základní šablona"
"Template","Šablona"
"Thumbnail Height","Výška náhledu"
"Thumbnail Width","Šířka náhledu"
"Title","Nadpis"
"User ID","Uživatelské ID"
"count_abbr_k","tis."
"count_abbr_m","mil."
"count_abbr_b","bln."
